gene,logFC,AveExpr,t,PValue,FDR,B
SNX16,0.30235905544793623,7.415926250947667,2.795688505303441,0.017610995235436293,0.09817167494289315,-3.908387183529686
RAPGEF6,-0.3624132772766766,6.566721111664744,-2.7953339516060707,0.017622103725914627,0.09820006043508997,-3.9090092606212434
VMN2R114,0.6559623614743305,3.5230232070415832,2.7946885891686453,0.017642341471678105,0.09826516213133274,-3.9101415409759404
CCDC57,0.509380688098665,4.510207240234992,2.7945775098430228,0.01764582711719987,0.09826516213133274,-3.9103364242242686
GSPT1,-0.21228707159290894,8.438796840240324,-2.7938706524557606,0.01766802425928818,0.09835521553891598,-3.9115765431018756
HMG20B,0.30476415339799967,6.903392779046245,2.792752846695796,0.017703183127085693,0.09851733890224776,-3.9135375361534757
COPE,0.21659928863979275,8.788735490089257,2.7912457321079525,0.01775069765970332,0.09874808698080353,-3.916181311344196
DEFB33,-0.6251718487895016,2.3588143984893444,-2.7896900610018953,0.017799876493029616,0.0989879332603848,-3.918910032687143
ECHDC1,-0.3275831817306691,5.91934426688077,-2.7892020148866763,0.01781533290413165,0.09904014429878638,-3.9197660402425503
SERPINA3C,0.47523417336196233,2.2222023899321326,2.788996858174953,0.017821834210207013,0.09904255293803162,-3.920125867521572
TMEM144,-0.4367402819937607,6.018589417335618,-2.788150870876175,0.017848668108080324,0.09913638496054401,-3.921609613209916
XKR8,0.42101000016619605,5.365066073000967,2.788081633523521,0.01785086603351543,0.09913638496054401,-3.9217310429282795
TSPAN17,-0.24676285140455423,7.980778453736205,-2.787451957492523,0.017870867367291238,0.0992137065200434,-3.9228353585425726
RNGTT,0.24183148031592064,7.394713128995732,2.7868921193170095,0.017888669112306795,0.09927876819145581,-3.9238171609828174
ZBTB34,-0.3445918881725442,6.056855075013205,-2.7858600445177237,0.0179215334255148,0.09942735165576226,-3.925627056025205
DFFB,-0.47445479738932705,4.0682978340238085,-2.7850695538946457,0.0179467457093325,0.09948415273976995,-3.9270132266905344
EIF3F,-0.20230234260721155,9.878318165960946,-2.7850467861729093,0.017947472397823808,0.09948415273976995,-3.9270531502834176
GM14305,-0.29213289917780555,7.606342623523066,-2.78496581703297,0.017950056967199025,0.09948415273976995,-3.927195130652547
MYO9B,-0.18472945401354943,9.266686693365468,-2.7838812008412237,0.017984714193219002,0.09964239818795674,-3.929096955815095
TRIM37,-0.4537632049463925,6.97447113257896,-2.783670646307892,0.017991449868311273,0.09964589234834632,-3.9294661401179494
PBX1,0.4578970572277938,5.35179518853533,2.782915470124245,0.01801562878396094,0.0997459609945083,-3.9307902226547267
PTPN9,0.2767975241119896,7.447051579128962,2.7804589498201473,0.01809450501903461,0.10014869817588434,-3.9350969519767567
ZFP949,0.38699818895790306,5.226724182858834,2.780177997788346,0.01810354800594324,0.10016478323830696,-3.9355894739146335
CTPS2,-0.2527394872227581,7.103055666821156,-2.7797141094286175,0.01811848901883525,0.10021347941898644,-3.9364026744401195
PARP4,0.2533787638453547,8.052782500785055,2.7789295854847538,0.018143785116607816,0.10031864438171079,-3.937777903032503
ARFGAP3,0.23117526622484727,7.867316074262931,2.7787433520540867,0.018149795175786788,0.10031864438171079,-3.938104351231955
TIMP3,-0.6107095566806463,3.9687344662781103,-2.7766400898728114,0.01821780886435382,0.10066006516271872,-3.9417909131863262
HYAL2,0.28517321752755836,6.739175658181296,2.7764521152395445,0.018223899801239667,0.10066006516271872,-3.942120370214597
MFSD2B,-0.5363156008291177,4.211996092572652,-2.7752620035576063,0.018262510104461373,0.10083920498140003,-3.9442061574213363
CYB5D1,-0.33214686006311317,6.884832094582838,-2.774814194028728,0.018277059311728672,0.10088541159487162,-3.94499095034361
PHOSPHO2,0.30502628763396816,6.407282539755055,2.7741537523593176,0.018298537968611972,0.10096982309793259,-3.946148347183429
BUB1B,-0.34894529995386075,6.167535687192567,-2.773351938968046,0.018324648088670834,0.1010797249419687,-3.947553432620494
LDB1,-0.20432308067290098,9.098398099152304,-2.7731170288338256,0.018332304695705605,0.10108779636598204,-3.947965073139432
C1GALT1C1,0.27847902351430265,6.444067889672631,2.771713825503115,0.018378106845457123,0.10130613304003754,-3.950423833973445
LPL,-0.20578521895013105,12.135570223181796,-2.769889481015111,0.018437826108367916,0.10160101206643522,-3.953620237883036
CTNNBL1,-0.26113212544272635,7.725072159914115,-2.768618278537482,0.01847955276267282,0.10179657785769347,-3.955847288972368
TAL2,0.561620350342124,2.4751093683617973,2.7679717969262616,0.01850080931943593,0.1018554858134927,-3.9569798123282793
